n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,multi_granined_outmode,initial_learning_rate,final_learning_rate,AUC
200,501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.69285178273
200,1001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.726042944724
200,1501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.753554367933
200,2001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.762500891321
200,2501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.764231878375
200,3001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.763872997394
200,3501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.767514164792
200,4001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.768513930892
200,4501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.768739074267
200,5001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769468236917
200,5501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769266020188
200,6001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769109857067
200,6501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.768519513893
200,7001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.768399140081
200,7501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.768758174416
200,8001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769225464897
200,8501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769477222689
200,9001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.76967386349
200,9501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.76986533764
200,10001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.770058407463
200,10501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.770164476553
200,11001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.770220180786
200,11501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.770107050054
200,12001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769789459624
200,12501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769691870942
200,13001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769192599057
200,13501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.768930563158
200,14001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769148387483
200,14501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769589716053
200,15001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769906752268
200,15501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769979319561
200,16001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.770247068085
200,16501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.770365352831
200,17001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.77042079985
200,17501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.770463328459
200,18001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.77036958376
200,18501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.770122403028
200,19001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.77001949555
200,19501,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769671734605
200,20001,,16,200,0.5,False,False,False,max,0.001,1e-05,0.769313989111
200,501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.707525194651
200,1001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.737135200293
200,1501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.745332017466
200,2001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.74726560644
200,2501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.74724186533
200,3001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.748161797257
200,3501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.750130213736
200,4001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.750480604877
200,4501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.75086197461
200,5001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.751732768464
200,5501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.751915493951
200,6001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.751794780369
200,6501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.751727247899
200,7001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.751838734823
200,7501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752030081864
200,8001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752197153604
200,8501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752293139522
200,9001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752445881432
200,9501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752486537667
200,10001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752519065081
200,10501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752597471595
200,11001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752653861317
200,11501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752636360114
200,12001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.75252622764
200,12501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752431563795
200,13001,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752359775968
200,13501,,16,200,0.5,False,False,True,max,0.001,1e-05,0.752344310584
